fold_number,algorithm_type,episode_number,fold_number,algorithm_type,problem_name,num_grounded_actions,exploration_time,model_load_time,sum_failed_actions,sum_successful_actions,goal_reached,num_steps_in_episode,solver_solved_problem,safe_model_solution_status,optimistic_model_solution_status,num_craft_stick_success,num_craft_plank_success,num_craft_wooden_sword_success,num_tp_to_success,num_break_success,num_craft_stick_fail,num_craft_plank_fail,num_craft_wooden_sword_fail,num_break_fail,num_tp_to_fail,num_unknown_failed_transitions_craft_plank,num_unknown_failed_transitions_craft_stick,num_unknown_failed_transitions_craft_wooden_sword,num_unknown_failed_transitions_tp_to,num_unknown_failed_transitions_break,num_failed_due_to_discrete_condition_break,num_failed_due_to_discrete_condition_craft_wooden_sword,num_failed_due_to_discrete_condition_tp_to,num_failed_due_to_discrete_condition_craft_stick,num_failed_due_to_discrete_condition_craft_plank,num_failed_due_to_numeric_condition_craft_stick,num_failed_due_to_numeric_condition_craft_wooden_sword,num_failed_due_to_numeric_condition_break,num_failed_due_to_numeric_condition_craft_plank,num_failed_due_to_numeric_condition_tp_to
0,noam_learning,1,0,noam_learning,advanced_map_instance_1,1370,24.3753399848938,0.006722927093505859,2507,50,False,2557,False,solver_error,not_applicable,0,0,0,49,1,5,2,405,290,1805,4,10,810,53,325,255,0,1806,0,0,0,0,0,0,0
0,noam_learning,2,0,noam_learning,advanced_map_instance_105,1370,16.52720355987549,0.5225315093994141,1607,29,True,1636,False,solver_error,goal_not_achieved,1,2,1,24,1,0,0,439,359,809,3,0,1660,26,395,227,10,809,0,0,5,18,0,1,0
0,noam_learning,3,0,noam_learning,advanced_map_instance_107,1370,0.0,1.744253158569336,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,745,0,167,0,71,0,0,0,0,0,0,0,0
0,noam_learning,4,0,noam_learning,advanced_map_instance_108,1370,0.0,1.5065453052520752,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,745,0,167,0,0,0,0,0,0,0,0,0,0
0,noam_learning,5,0,noam_learning,advanced_map_instance_11,1370,0.0,1.5022914409637451,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,745,0,167,0,0,0,0,0,0,0,0,0,0
0,noam_learning,6,0,noam_learning,advanced_map_instance_112,1370,24.275675535202026,1.4762024879455566,2086,40,True,2126,False,no_solution,not_applicable,1,2,1,35,1,0,0,461,463,1162,2,0,2308,67,1177,44,39,1162,0,0,0,14,0,0,0
0,noam_learning,7,0,noam_learning,advanced_map_instance_114,1370,0.0,2.746250629425049,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1154,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,8,0,noam_learning,advanced_map_instance_118,1370,0.0,2.7871458530426025,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1154,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,9,0,noam_learning,advanced_map_instance_124,1370,0.0,2.799354076385498,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,910,0,586,0,244,0,0,0,0,0,0,0,0
0,noam_learning,10,0,noam_learning,advanced_map_instance_126,1370,0.0,2.4674675464630127,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,713,0,586,0,197,0,0,0,0,0,0,0,0
0,noam_learning,11,0,noam_learning,advanced_map_instance_130,1370,0.0,2.123530149459839,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,78,0,0,0,0,0,0,0,0
0,noam_learning,12,0,noam_learning,advanced_map_instance_134,1370,0.0,1.9642975330352783,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,13,0,noam_learning,advanced_map_instance_137,1370,0.0,2.05944561958313,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,14,0,noam_learning,advanced_map_instance_139,1370,0.0,2.3680009841918945,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,15,0,noam_learning,advanced_map_instance_140,1370,0.0,1.95332932472229,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,16,0,noam_learning,advanced_map_instance_141,1370,0.0,2.0636560916900635,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,17,0,noam_learning,advanced_map_instance_144,1370,0.0,1.9471180438995361,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,18,0,noam_learning,advanced_map_instance_145,1370,0.0,1.9555094242095947,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,19,0,noam_learning,advanced_map_instance_147,1370,0.0,1.9537792205810547,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,20,0,noam_learning,advanced_map_instance_148,1370,0.0,1.942098617553711,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,21,0,noam_learning,advanced_map_instance_150,1370,0.0,1.9511117935180664,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,22,0,noam_learning,advanced_map_instance_153,1370,0.0,1.929825782775879,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,23,0,noam_learning,advanced_map_instance_154,1370,0.0,1.950575351715088,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,24,0,noam_learning,advanced_map_instance_155,1370,0.0,2.042048931121826,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,25,0,noam_learning,advanced_map_instance_158,1370,0.0,2.017346143722534,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,26,0,noam_learning,advanced_map_instance_16,1370,0.0,1.9441862106323242,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,27,0,noam_learning,advanced_map_instance_160,1370,0.0,1.921093463897705,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,28,0,noam_learning,advanced_map_instance_162,1370,0.0,1.9513332843780518,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,29,0,noam_learning,advanced_map_instance_163,1370,0.0,1.9282543659210205,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,30,0,noam_learning,advanced_map_instance_167,1370,0.0,1.9521706104278564,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,31,0,noam_learning,advanced_map_instance_17,1370,0.0,1.9526865482330322,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,32,0,noam_learning,advanced_map_instance_170,1370,0.0,2.134608030319214,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,33,0,noam_learning,advanced_map_instance_172,1370,0.0,1.9513494968414307,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,34,0,noam_learning,advanced_map_instance_174,1370,0.0,1.9193813800811768,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,35,0,noam_learning,advanced_map_instance_175,1370,0.0,1.9333982467651367,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,36,0,noam_learning,advanced_map_instance_181,1370,0.0,1.9724719524383545,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,37,0,noam_learning,advanced_map_instance_182,1370,0.0,2.0237786769866943,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,635,0,586,0,0,0,0,0,0,0,0,0,0
0,noam_learning,38,0,noam_learning,advanced_map_instance_188,1370,32.89818286895752,1.9294655323028564,2629,50,False,2679,False,no_solution,not_applicable,1,0,0,47,2,2,0,661,585,1381,2,0,2488,69,1927,354,35,1381,0,0,2,18,0,0,0
0,noam_learning,39,0,noam_learning,advanced_map_instance_189,1370,0.0,3.2691493034362793,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,40,0,noam_learning,advanced_map_instance_19,1370,0.0,3.261185884475708,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,41,0,noam_learning,advanced_map_instance_199,1370,0.0,3.233487844467163,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,42,0,noam_learning,advanced_map_instance_2,1370,0.0,3.217069149017334,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,43,0,noam_learning,advanced_map_instance_22,1370,0.0,3.2513298988342285,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,44,0,noam_learning,advanced_map_instance_25,1370,0.0,3.2277169227600098,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,45,0,noam_learning,advanced_map_instance_27,1370,0.0,3.2532660961151123,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,46,0,noam_learning,advanced_map_instance_28,1370,0.0,3.2211616039276123,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,47,0,noam_learning,advanced_map_instance_31,1370,0.0,3.23372483253479,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,48,0,noam_learning,advanced_map_instance_32,1370,0.0,3.2206695079803467,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,49,0,noam_learning,advanced_map_instance_34,1370,0.0,3.4923620223999023,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,50,0,noam_learning,advanced_map_instance_36,1370,0.0,3.4727582931518555,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,51,0,noam_learning,advanced_map_instance_37,1370,0.0,3.2217085361480713,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,52,0,noam_learning,advanced_map_instance_4,1370,0.0,3.229250907897949,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,53,0,noam_learning,advanced_map_instance_40,1370,0.0,3.215170383453369,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,54,0,noam_learning,advanced_map_instance_42,1370,0.0,3.2449612617492676,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,55,0,noam_learning,advanced_map_instance_46,1370,0.0,3.237046480178833,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,56,0,noam_learning,advanced_map_instance_49,1370,0.0,3.2227444648742676,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,57,0,noam_learning,advanced_map_instance_5,1370,0.0,3.228254795074463,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,58,0,noam_learning,advanced_map_instance_50,1370,0.0,3.2546589374542236,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,59,0,noam_learning,advanced_map_instance_51,1370,0.0,3.232585906982422,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,60,0,noam_learning,advanced_map_instance_52,1370,0.0,3.2635550498962402,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,61,0,noam_learning,advanced_map_instance_53,1370,0.0,3.2548158168792725,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,62,0,noam_learning,advanced_map_instance_55,1370,0.0,3.2442824840545654,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,63,0,noam_learning,advanced_map_instance_56,1370,0.0,3.2533230781555176,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,64,0,noam_learning,advanced_map_instance_57,1370,0.0,3.252763509750366,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,65,0,noam_learning,advanced_map_instance_58,1370,0.0,4.314129829406738,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,66,0,noam_learning,advanced_map_instance_60,1370,0.0,3.2450554370880127,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,67,0,noam_learning,advanced_map_instance_63,1370,0.0,3.2353744506835938,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,68,0,noam_learning,advanced_map_instance_64,1370,0.0,3.2598936557769775,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,69,0,noam_learning,advanced_map_instance_65,1370,0.0,3.2542483806610107,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,70,0,noam_learning,advanced_map_instance_70,1370,0.0,3.2322351932525635,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,71,0,noam_learning,advanced_map_instance_71,1370,0.0,3.2292678356170654,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,72,0,noam_learning,advanced_map_instance_73,1370,0.0,3.2351529598236084,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,73,0,noam_learning,advanced_map_instance_8,1370,0.0,3.2258481979370117,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,74,0,noam_learning,advanced_map_instance_80,1370,0.0,3.2276575565338135,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,75,0,noam_learning,advanced_map_instance_81,1370,0.0,3.2640390396118164,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,76,0,noam_learning,advanced_map_instance_82,1370,0.0,3.262636423110962,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,77,0,noam_learning,advanced_map_instance_85,1370,0.0,3.225745439529419,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,78,0,noam_learning,advanced_map_instance_88,1370,0.0,3.2302663326263428,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,79,0,noam_learning,advanced_map_instance_89,1370,0.0,3.216801881790161,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,80,0,noam_learning,advanced_map_instance_95,1370,0.0,3.251788377761841,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
